dataset_name	hyperparameter_setting	n_hidden_layer	n_feature	n_hidden_module	n_hidden_neuron	n_training	n_testing	training_total_loss	training_root_loss	training_auxiliary_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_total_loss	testing_root_loss	testing_auxiliary_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-pxr-p1_MultiSURF_100	rt_22_ps_5_re_0_xs_20_al_0.5_ld_0.0001	7	361	120,41,15,6,2,2,1	610,335,155,77,35,39,19	395	96	2.47912	0.46897	4.02029	0.83014	0.03378	0.73914	0.03633	0.6473	0.05647	2.56934	0.50272	4.13325	0.79736	0.07237	0.66406	0.07394	0.5283	0.12998
tox21-pxr-p1_MultiSURF_200	rt_14_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	169,61,26,13,5,3,1,1,1,1,1,1	753,432,244,144,45,36,8,10,14,17,18,20	395	96	4.01375	0.45842	7.11066	0.83696	0.03041	0.74835	0.03417	0.66094	0.05202	4.14456	0.50646	7.27621	0.79736	0.0767	0.74219	0.07536	0.65517	0.11429
tox21-pxr-p1_MultiSURF_300	rt_14_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	169,61,26,13,5,3,1,1,1,1,1,1	753,432,244,144,45,36,8,10,14,17,18,20	395	96	4.01375	0.45842	7.11066	0.83696	0.03041	0.74835	0.03417	0.66094	0.05202	4.14456	0.50646	7.27621	0.79736	0.0767	0.74219	0.07536	0.65517	0.11429
tox21-pxr-p1_MultiSURF_400	rt_14_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	169,61,26,13,5,3,1,1,1,1,1,1	753,432,244,144,45,36,8,10,14,17,18,20	395	96	4.01375	0.45842	7.11066	0.83696	0.03041	0.74835	0.03417	0.66094	0.05202	4.14456	0.50646	7.27621	0.79736	0.0767	0.74219	0.07536	0.65517	0.11429
tox21-pxr-p1_MultiSURF_500	rt_14_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	169,61,26,13,5,3,1,1,1,1,1,1	753,432,244,144,45,36,8,10,14,17,18,20	395	96	4.01375	0.45842	7.11066	0.83696	0.03041	0.74835	0.03417	0.66094	0.05202	4.14456	0.50646	7.27621	0.79736	0.0767	0.74219	0.07536	0.65517	0.11429
tox21-rt-viability-hek293-p1_MultiSURF_100	rt_33_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	287,101,41,19,7,5,2,1,1,1,1,1	1336,744,392,218,78,73,26,10,14,17,18,20	463	116	3.87126	0.44477	6.85299	0.85535	0.02793	0.77842	0.03316	0.7074	0.04606	4.24852	0.58105	7.33494	0.73482	0.08166	0.66734	0.07372	0.55263	0.10819
tox21-rt-viability-hek293-p1_MultiSURF_200	rt_33_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	287,101,41,19,7,5,2,1,1,1,1,1	1336,744,392,218,78,73,26,10,14,17,18,20	463	116	3.87126	0.44477	6.85299	0.85535	0.02793	0.77842	0.03316	0.7074	0.04606	4.24852	0.58105	7.33494	0.73482	0.08166	0.66734	0.07372	0.55263	0.10819
tox21-rt-viability-hek293-p1_MultiSURF_300	rt_26_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	231,85,37,18,6,4,1,1,1,1,1,1	1018,609,350,204,61,55,8,10,14,17,18,20	463	116	3.86705	0.42559	6.88291	0.86748	0.02616	0.77565	0.03245	0.70508	0.04681	4.26055	0.57978	7.36155	0.74426	0.07782	0.65385	0.07218	0.52778	0.10918
tox21-rt-viability-hek293-p1_MultiSURF_400	rt_33_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	287,101,41,19,7,5,2,1,1,1,1,1	1336,744,392,218,78,73,26,10,14,17,18,20	463	116	3.87126	0.44477	6.85299	0.85535	0.02793	0.77842	0.03316	0.7074	0.04606	4.24852	0.58105	7.33494	0.73482	0.08166	0.66734	0.07372	0.55263	0.10819
tox21-rt-viability-hek293-p1_MultiSURF_500	rt_26_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	231,85,37,18,6,4,1,1,1,1,1,1	1018,609,350,204,61,55,8,10,14,17,18,20	463	116	3.86705	0.42559	6.88291	0.86748	0.02616	0.77565	0.03245	0.70508	0.04681	4.26055	0.57978	7.36155	0.74426	0.07782	0.65385	0.07218	0.52778	0.10918
