dataset_name	hyperparameter_setting	n_hidden_layer	n_feature	n_hidden_module	n_hidden_neuron	n_training	n_testing	training_total_loss	training_root_loss	training_auxiliary_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_total_loss	testing_root_loss	testing_auxiliary_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
binding_tox21-pxr-p1_100	rt_11_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	6	100	9,5,1,1,1,1	52,47,12,19,20,20	419	105	2.38493	0.57812	3.61361	0.63045	0.03348	0.6108	0.03023	0.38462	0.07176	2.41497	0.59414	3.64167	0.61185	0.06335	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_100	rt_12_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	7	100	23,9,3,3,1,1,1	147,90,37,49,16,17,20	419	105	2.83136	0.62384	4.41504	0.52964	0.0206	0.51087	0.00904	0.04255	0.03488	2.83317	0.63028	4.40578	0.52672	0.0745	0.5	0	0	0
binding_tox21-pxr-p1_100	rt_13_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	6	100	51,18,9,4,2,1	221,142,93,40,30,20	419	105	2.45543	0.58789	3.73508	0.70064	0.03738	0.5602	0.02561	0.26437	0.06457	2.44987	0.59214	3.71546	0.7239	0.08485	0.54474	0.04285	0.2	0.11681
binding_tox21-pxr-p1_100	rt_14_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	27,15,11,5,2,2,1,1,1,1,1,1	150,134,125,64,14,21,8,10,14,17,18,20	419	105	4.3339	0.58056	7.50669	0.6358	0.03284	0.60711	0.02751	0.37079	0.07083	4.34881	0.6	7.49763	0.58326	0.08472	0.58244	0.06267	0.34043	0.15
binding_tox21-pxr-p1_100	rt_21_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	7	100	32,14,4,4,2,2,1	197,135,48,67,34,36,20	419	105	2.78539	0.58903	4.39273	0.64561	0.03331	0.60355	0.02974	0.36667	0.07421	2.78948	0.59807	4.38282	0.60481	0.07232	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_100	rt_22_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	6	100	60,23,10,5,3,2	271,187,104,58,49,39	419	105	2.39223	0.54209	3.70029	0.76518	0.03715	0.61264	0.0315	0.3913	0.07562	2.4156	0.56798	3.69524	0.75394	0.08227	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_100	rt_23_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	36,20,12,6,3,3,1,1,1,1,1,1	198,176,136,81,32,39,8,10,14,17,18,20	419	105	4.37401	0.5866	7.57482	0.64635	0.03873	0.59446	0.02803	0.34091	0.0736	4.35378	0.58958	7.52841	0.61848	0.08634	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_100	rt_24_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	7	100	74,27,12,7,3,2,1	365,230,129,88,45,37,20	419	105	2.78592	0.58881	4.39422	0.69877	0.04011	0.56758	0.02735	0.2967	0.06775	2.80499	0.61595	4.3781	0.70153	0.08947	0.53065	0.04537	0.19048	0.11243
binding_tox21-pxr-p1_100	rt_25_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	49,23,14,8,3,3,2,1,1,1,1,1	289,209,162,111,30,38,28,10,14,17,18,20	419	105	4.31806	0.57455	7.48703	0.62542	0.03747	0.60711	0.02751	0.37079	0.07083	4.36085	0.60395	7.51379	0.58244	0.08464	0.58244	0.06267	0.34043	0.15
binding_tox21-pxr-p1_100	rt_26_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	78,33,20,9,4,3,1,1,1,1,1,1	365,270,213,102,42,40,8,10,14,17,18,20	419	105	4.32795	0.5624	7.5311	0.73115	0.03996	0.56548	0.02402	0.2619	0.06527	4.3168	0.57579	7.48202	0.75953	0.08575	0.55944	0.05059	0.2439	0.14015
binding_tox21-pxr-p1_100	rt_31_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	7	100	83,32,13,8,4,3,1	415,275,140,106,63,56,20	419	105	2.78707	0.5827	4.40875	0.7274	0.03673	0.53445	0.017	0.13423	0.05846	2.76593	0.57871	4.37446	0.76015	0.08312	0.54412	0.0375	0.16216	0.13043
binding_tox21-pxr-p1_100	rt_32_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	58,28,15,9,4,4,2,1,1,1,1,1	337,251,173,128,48,56,28,10,14,17,18,20	419	105	4.34899	0.57162	7.55473	0.61819	0.04315	0.62529	0.03158	0.41935	0.07385	4.34885	0.59372	7.51026	0.58948	0.08759	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_100	rt_33_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	87,38,21,10,5,4,1,1,1,1,1,1	413,312,224,119,60,58,8,10,14,17,18,20	419	105	4.32025	0.5455	7.54951	0.75431	0.04002	0.61264	0.031	0.3913	0.07287	4.32096	0.5685	7.50492	0.76201	0.08335	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_100	rt_34_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	100,41,23,12,5,4,2,1,1,1,1,1	504,345,250,149,58,57,28,10,14,17,18,20	419	105	4.37901	0.59304	7.57195	0.70252	0.03738	0.52536	0.01392	0.09655	0.05044	4.33694	0.58052	7.51283	0.74503	0.08431	0.52941	0.02632	0.11111	0.09524
binding_tox21-pxr-p1_100	rt_41_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	100	109,46,24,13,6,5,2,1,1,1,1,1	552,387,261,166,76,75,28,10,14,17,18,20	419	105	4.35087	0.56095	7.57984	0.748	0.03992	0.60717	0.03031	0.37569	0.07269	4.33194	0.56592	7.53203	0.76346	0.0848	0.58886	0.05893	0.32558	0.15173
binding_tox21-pxr-p1_200	rt_11_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	7	200	14,8,2,1,1,1,1	88,77,25,15,19,20,20	419	105	2.72197	0.58013	4.28369	0.63674	0.03503	0.62167	0.03172	0.41081	0.07333	2.75432	0.59741	4.31382	0.56877	0.07042	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_200	rt_12_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	10	200	49,19,9,3,6,7,5,1,1,1	329,178,96,40,59,76,58,12,18,20	419	105	3.79888	0.63141	6.33494	0.53814	0.02627	0.5	0	0	0	3.78389	0.63029	6.30719	0.46065	0.07018	0.5	0	0	0
binding_tox21-pxr-p1_200	rt_13_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	6	200	68,23,12,6,2,1	302,175,124,66,30,20	419	105	2.44764	0.5825	3.73026	0.70372	0.03784	0.57469	0.02675	0.30337	0.06706	2.48346	0.61907	3.72879	0.70112	0.08815	0.5377	0.04491	0.19512	0.11681
binding_tox21-pxr-p1_200	rt_14_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	200	73,36,20,10,4,3,1,1,1,1,1,1	395,275,198,109,32,36,8,10,14,17,18,20	419	105	4.25592	0.53684	7.43815	0.68326	0.03354	0.66337	0.03141	0.50505	0.06396	4.32656	0.58589	7.48133	0.64292	0.08373	0.61951	0.07218	0.43137	0.14332
binding_tox21-pxr-p1_200	rt_21_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	10	200	63,27,11,4,7,8,6,1,1,1	411,250,119,54,77,94,77,12,18,20	419	105	3.72873	0.57425	6.30896	0.69135	0.0351	0.63254	0.03292	0.43617	0.07286	3.74732	0.59671	6.30123	0.55965	0.08871	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_200	rt_22_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	7	200	82,31,14,7,3,2,1	386,248,147,80,48,39,19	419	105	2.68208	0.53723	4.28971	0.77703	0.03673	0.62173	0.03157	0.41489	0.07036	2.71903	0.56404	4.30998	0.76036	0.08386	0.58886	0.05893	0.32558	0.15173
binding_tox21-pxr-p1_200	rt_23_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	200	87,44,22,11,5,4,2,1,1,1,1,1	475,344,220,123,49,54,26,10,14,17,18,20	419	105	4.36248	0.58291	7.55913	0.6361	0.04493	0.62167	0.03192	0.41081	0.07333	4.35708	0.59347	7.5272	0.66094	0.07609	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_200	rt_24_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	10	200	117,42,21,9,8,8,5,1,1,1	627,352,218,105,88,96,58,12,18,20	419	105	3.75887	0.5943	6.32915	0.70327	0.03892	0.50362	0.00316	0.01439	0.0125	3.77588	0.61646	6.31883	0.70423	0.08723	0.5	0	0	0
binding_tox21-pxr-p1_200	rt_25_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	200	118,53,29,13,10,10,6,2,2,2,1,1	689,432,291,148,91,112,66,21,31,37,18,20	419	105	4.39289	0.60768	7.5704	0.62347	0.03988	0.55632	0.02173	0.2236	0.06604	4.36061	0.59597	7.52927	0.54184	0.09505	0.56649	0.05023	0.25	0.14171
binding_tox21-pxr-p1_200	rt_26_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	200	141,59,32,16,6,4,1,1,1,1,1,1	688,443,317,172,60,55,8,10,14,17,18,20	419	105	4.32335	0.55233	7.54204	0.74553	0.03663	0.61099	0.02952	0.39791	0.06584	4.29917	0.55353	7.49127	0.73985	0.08266	0.60418	0.06248	0.38298	0.14268
binding_tox21-pxr-p1_200	rt_31_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	10	200	131,50,23,10,9,9,6,1,1,1	709,424,241,119,106,114,77,12,18,20	419	105	3.72182	0.55846	6.32673	0.75244	0.03869	0.6108	0.03084	0.38462	0.07318	3.73558	0.57858	6.314	0.7792	0.0769	0.58181	0.06056	0.31818	0.15079
binding_tox21-pxr-p1_200	rt_32_ps_5_re_0_st_0_xs_20_al_0.5_ld_1e-04	12	200	132,61,31,14,11,11,7,2,2,2,1,1	769,501,313,162,108,130,84,21,31,37,18,20	419	105	4.35884	0.56697	7.58373	0.67494	0.04012	0.63076	0.03277	0.43386	0.07203	4.37132	0.59498	7.55268	0.59176	0.09138	0.58181	0.06056	0.31818	0.15079
