cid	path_id	observed	p_value	fdr
CID_10113978	R-HSA-162582_R-HSA-2586552_P51692	-5.18973	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-202131_R-HSA-203615_P0DP23	-5.05297	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	-1.90685	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_Q9UNQ0	-1.84767	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_O15244	-2.30825	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-71291_R-HSA-8964539_P00367	-8.44008	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	-3.46882	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-165159_R-HSA-380972_O43741	-8.00565	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-165159_R-HSA-380972_Q9Y478	-8.20130	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-165159_R-HSA-380972_Q13131	-7.64174	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-9006335_R-HSA-9027276_O00329	-7.14633	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-9006335_R-HSA-9027276_P42338	-7.06394	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-9006335_R-HSA-9027276_P42336	-6.75533	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-9006335_R-HSA-9027283_P51692	-8.51792	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-194840_Q15311	-3.77321	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-5683057_R-HSA-5687128_Q9Y6Q9	-10.07033	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-5683057_R-HSA-5687128_P25786	-7.19794	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-5683057_R-HSA-5687128_P20618	-7.40369	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-71291_R-HSA-8963691_R-HSA-8963684_P17735	-8.76125	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-196854_R-HSA-8978934_R-HSA-1474151_P0DP23	-6.76130	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-71387_R-HSA-70326_R-HSA-70263_P11498	-9.33796	0.00000	0.00000
CID_10113978	R-HSA-1430728_R-HSA-71387_R-HSA-70326_R-HSA-70263_P00558	-8.33781	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-157118_R-HSA-1980143_R-HSA-2122947_Q9UBN7	-9.14555	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-157118_R-HSA-1980143_R-HSA-2122947_Q9UKV0	-10.85125	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-157118_R-HSA-9013694_R-HSA-9604323_P25786	-7.85522	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-157118_R-HSA-9013694_R-HSA-9604323_P20618	-8.06097	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-5358351_R-HSA-5610787_R-HSA-5610780_P25786	-8.23676	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-5358351_R-HSA-5610787_R-HSA-5610783_P25786	-8.44664	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-5358351_R-HSA-5610787_R-HSA-5610783_P20618	-8.65239	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-5358351_R-HSA-5610787_R-HSA-5610785_P25786	-8.97444	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663213_P00519	-3.92625	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_Q13885	-6.17523	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_P62714	-4.76909	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_P67775	-4.18184	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_P04350	-6.03078	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_Q13509	-6.16560	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5668599_Q16539	-5.18728	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5668599_P17252	-5.75527	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5668599_P05771	-5.56479	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5627123_P0DP23	-3.12928	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5627117_P53671	-2.24506	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-195721_R-HSA-195253_R-HSA-196299_P62714	-9.38837	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-195721_R-HSA-195253_R-HSA-196299_P67775	-8.80112	0.00000	0.00000
CID_10113978	R-HSA-162582_R-HSA-195721_R-HSA-201681_R-HSA-4641257_P25786	-8.74662	0.00000	0.00000
