cid	path_id	observed	p_value	fdr
CID_104741	R-HSA-1430728_R-HSA-1483249_R-HSA-1855204_P0DP23	-4.52421	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-70895_P54687	-5.08644	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-71288_P48066	-5.14246	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-71064_Q02218	-4.82260	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-209776_R-HSA-209931_P17752	-6.28568	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-351202_R-HSA-350562_P20618	-5.96184	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-351202_R-HSA-350562_P49721	-6.18437	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-351202_R-HSA-350562_P28074	-5.90795	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-351202_R-HSA-350562_P28062	-6.37738	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-71387_R-HSA-8982491_R-HSA-70221_P0DP23	-4.87020	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_P04798	-2.87766	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_P19793	-2.88174	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_P35869	-3.24769	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_O60656	-3.44184	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_P11474	-2.10460	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_O60427	-3.40317	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_Q9Y6Q9	-4.06126	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-400206_R-HSA-1989781_O75376	-3.13800	0.00000	0.00000
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_P08235	-2.97184	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-1428517_R-HSA-71406_R-HSA-70268_R-HSA-204174_P19793	-8.56941	0.00000	0.00000
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-9614085_R-HSA-9617629_Q96EB6	-6.63706	0.00000	0.00000
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878166_R-HSA-8941326_R-HSA-8940973_Q9UBN7	-8.03064	0.00000	0.00000
CID_104741	R-HSA-1430728_R-HSA-202131_R-HSA-203615_P0DP23	-4.81684	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-389661_Q02218	-4.86337	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-389661_O14561	-5.85625	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-389661_P11177	-5.93173	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-70895_P24752	-5.41138	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-70921_P50135	-5.48189	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-2408522_R-HSA-2408557_P39023	-6.00823	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-2408522_R-HSA-2408508_P50135	-7.34400	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-2408522_R-HSA-2408508_P40261	-7.18273	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-351202_R-HSA-350562_P25786	-6.39808	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-351202_R-HSA-350562_Q99460	-6.36680	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71291_R-HSA-351202_R-HSA-350562_Q13200	-6.42598	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-1428517_R-HSA-71406_R-HSA-71403_Q02218	-6.86052	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71387_R-HSA-70326_R-HSA-70263_P11498	-6.68188	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71387_R-HSA-70326_R-HSA-70263_P00558	-6.88101	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-8978868_R-HSA-200425_P19793	-6.44406	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_P48443	-3.54611	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_P19793	-2.63865	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_P06401	-2.73502	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_P10827	-3.89407	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_P10828	-3.89196	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_P51843	-2.80004	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-383280_O75376	-2.89492	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-1428517_R-HSA-71406_R-HSA-70268_R-HSA-204174_P11177	-10.07879	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-71387_R-HSA-70326_R-HSA-70171_R-HSA-9634600_P67775	-8.50726	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-8978868_R-HSA-2142753_R-HSA-2142816_P04798	-9.34030	0.00500	0.04608
CID_104741	R-HSA-1430728_R-HSA-556833_R-HSA-8978868_R-HSA-2142753_R-HSA-2162123_Q16647	-10.89236	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8864260_R-HSA-8866910_P10721	-6.91216	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878159_R-HSA-8941858_P20618	-5.26547	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878159_R-HSA-8941858_P49721	-5.48799	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878159_R-HSA-8941858_P28074	-5.21157	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878159_R-HSA-8941858_P25786	-5.70170	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878159_R-HSA-8941858_Q99460	-5.67042	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878159_R-HSA-8941858_Q13200	-5.72960	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878171_R-HSA-8939236_P20618	-6.81714	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878171_R-HSA-8939236_P28074	-6.76324	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878171_R-HSA-8939236_P25786	-7.25337	0.00500	0.04608
CID_104741	R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878171_R-HSA-8939236_Q99460	-7.22209	0.00500	0.04608
