dataset_name	hyperparameter_setting	n_training	n_testing	training_log_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_log_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-pxr-p1_MultiSURF_100	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	395	96	0.05307	1.0	0.0	1.0	0.0	1.0	0.0	0.57594	0.82031	0.07407	0.76562	0.07374	0.68852	0.10644
tox21-pxr-p1_MultiSURF_200	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	395	96	0.05307	1.0	0.0	1.0	0.0	1.0	0.0	0.57594	0.82031	0.07407	0.76562	0.07374	0.68852	0.10644
tox21-pxr-p1_MultiSURF_300	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	395	96	0.05307	1.0	0.0	1.0	0.0	1.0	0.0	0.57594	0.82031	0.07407	0.76562	0.07374	0.68852	0.10644
tox21-pxr-p1_MultiSURF_400	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	395	96	0.05307	1.0	0.0	1.0	0.0	1.0	0.0	0.57594	0.82031	0.07407	0.76562	0.07374	0.68852	0.10644
tox21-pxr-p1_MultiSURF_500	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	395	96	0.05307	1.0	0.0	1.0	0.0	1.0	0.0	0.57594	0.82031	0.07407	0.76562	0.07374	0.68852	0.10644
tox21-rt-viability-hek293-p1_MultiSURF_100	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	463	116	0.07369	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.72259	0.6913	0.0881	0.62078	0.07249	0.47059	0.11905
tox21-rt-viability-hek293-p1_MultiSURF_200	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	463	116	0.07369	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.72259	0.6913	0.0881	0.62078	0.07249	0.47059	0.11905
tox21-rt-viability-hek293-p1_MultiSURF_300	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	463	116	0.07369	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.72259	0.6913	0.0881	0.62078	0.07249	0.47059	0.11905
tox21-rt-viability-hek293-p1_MultiSURF_400	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	463	116	0.07369	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.72259	0.6913	0.0881	0.62078	0.07249	0.47059	0.11905
tox21-rt-viability-hek293-p1_MultiSURF_500	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	463	116	0.07369	0.99989	0.00014	0.99518	0.00403	0.99363	0.00549	0.72259	0.6913	0.0881	0.62078	0.07249	0.47059	0.11905
tox21-rt-viability-hepg2-p1_MultiSURF_100	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	462	117	0.06743	0.99994	8e-05	0.99145	0.00746	0.99138	0.00758	0.45729	0.81466	0.06738	0.6442	0.07095	0.45833	0.13032
tox21-rt-viability-hepg2-p1_MultiSURF_200	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	462	117	0.06743	0.99994	8e-05	0.99145	0.00746	0.99138	0.00758	0.45729	0.81466	0.06738	0.6442	0.07095	0.45833	0.13032
tox21-rt-viability-hepg2-p1_MultiSURF_300	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	462	117	0.06743	0.99994	8e-05	0.99145	0.00746	0.99138	0.00758	0.45729	0.81466	0.06738	0.6442	0.07095	0.45833	0.13032
tox21-rt-viability-hepg2-p1_MultiSURF_400	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	462	117	0.06743	0.99994	8e-05	0.99145	0.00746	0.99138	0.00758	0.45729	0.81466	0.06738	0.6442	0.07095	0.45833	0.13032
tox21-rt-viability-hepg2-p1_MultiSURF_500	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	462	117	0.06743	0.99994	8e-05	0.99145	0.00746	0.99138	0.00758	0.45729	0.81466	0.06738	0.6442	0.07095	0.45833	0.13032
