path_id	cid	compound_name	reactome_id1	pathway_name1	reactome_id2	pathway_name2	uniprot_id	gene_name
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_P08183	CID_10113978	pazopanib	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	P08183	ABCB1
R-HSA-1430728_R-HSA-556833_R-HSA-9018678_R-HSA-9018677_R-HSA-9018682_R-HSA-9027307_P05177	CID_10113978	pazopanib	R-HSA-9027307	Biosynthesis of maresin-like SPMs	R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	P05177	CYP1A2
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P05177	CID_10113978	pazopanib	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P05177	CYP1A2
R-HSA-1430728_R-HSA-211859_R-HSA-5423646_P08684	CID_10113978	pazopanib	R-HSA-5423646	Aflatoxin activation and detoxification	R-HSA-5423646	Aflatoxin activation and detoxification	P08684	CYP3A4
R-HSA-1430728_R-HSA-2161522_R-HSA-2161517_Q9UNQ0	CID_10113978	pazopanib	R-HSA-2161517	Abacavir transmembrane transport	R-HSA-2161517	Abacavir transmembrane transport	Q9UNQ0	ABCG2
R-HSA-1430728_R-HSA-556833_R-HSA-1483257_R-HSA-1483255_R-HSA-1660499_Q8TBX8	CID_10113978	pazopanib	R-HSA-1660499	Synthesis of PIPs at the plasma membrane	R-HSA-1483257	Phospholipid metabolism	Q8TBX8	PIP4K2C
R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-199418_R-HSA-6811558_Q8TBX8	CID_10113978	pazopanib	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-1257604	PIP3 activates AKT signaling	Q8TBX8	PIP4K2C
R-HSA-162582_R-HSA-9006934_R-HSA-194138_R-HSA-4420097_R-HSA-5218921_P35968	CID_10113978	pazopanib	R-HSA-5218921	VEGFR2 mediated cell proliferation	R-HSA-194138	Signaling by VEGF	P35968	KDR
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5627117_P53671	CID_10113978	pazopanib	R-HSA-5627117	RHO GTPases Activate ROCKs	R-HSA-195258	RHO GTPase Effectors	P53671	LIMK2
R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878166_R-HSA-8939902_P03372	CID_104741	fulvestrant	R-HSA-8939902	Regulation of RUNX2 expression and activity	R-HSA-212436	Generic Transcription Pathway	P03372	ESR1
R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878171_R-HSA-8939256_P03372	CID_104741	fulvestrant	R-HSA-8939256	RUNX1 regulates transcription of genes involved in WNT signaling	R-HSA-212436	Generic Transcription Pathway	P03372	ESR1
R-HSA-74160_R-HSA-73857_R-HSA-212436_R-HSA-8878166_R-HSA-8939902_P11474	CID_104741	fulvestrant	R-HSA-8939902	Regulation of RUNX2 expression and activity	R-HSA-212436	Generic Transcription Pathway	P11474	ESRRA
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5663220_P68366	CID_10607	podofilox	R-HSA-5663220	RHO GTPases Activate Formins	R-HSA-195258	RHO GTPase Effectors	P68366	TUBA4A
R-HSA-162582_R-HSA-194315_R-HSA-195258_R-HSA-5626467_P68366	CID_10607	podofilox	R-HSA-5626467	RHO GTPases activate IQGAPs	R-HSA-195258	RHO GTPase Effectors	P68366	TUBA4A
R-HSA-162582_R-HSA-5358351_R-HSA-5610787_R-HSA-5610780_P20618	CID_11556711	carfilzomib	R-HSA-5610780	Degradation of GLI1 by the proteasome	R-HSA-5610787	Hedgehog 'off' state	P20618	PSMB1
R-HSA-162582_R-HSA-9006925_R-HSA-1257604_R-HSA-6807070_R-HSA-8948751_P20618	CID_11556711	carfilzomib	R-HSA-8948751	Regulation of PTEN stability and activity	R-HSA-1257604	PIP3 activates AKT signaling	P20618	PSMB1
R-HSA-162582_R-HSA-5683057_R-HSA-5684996_R-HSA-5673001_R-HSA-5658442_P20618	CID_11556711	carfilzomib	R-HSA-5658442	Regulation of RAS by GAPs	R-HSA-5684996	MAPK1/MAPK3 signaling	P20618	PSMB1
R-HSA-162582_R-HSA-195721_R-HSA-3858494_R-HSA-4086400_R-HSA-4608870_P20618	CID_11556711	carfilzomib	R-HSA-4608870	Asymmetric localization of PCP proteins	R-HSA-3858494	Beta-catenin independent WNT signaling	P20618	PSMB1
R-HSA-162582_R-HSA-195721_R-HSA-201681_R-HSA-4641258_P20618	CID_11556711	carfilzomib	R-HSA-4641258	Degradation of DVL	R-HSA-201681	TCF dependent signaling in response to WNT	P20618	PSMB1
R-HSA-162582_R-HSA-195721_R-HSA-201681_R-HSA-4641257_P20618	CID_11556711	carfilzomib	R-HSA-4641257	Degradation of AXIN	R-HSA-201681	TCF dependent signaling in response to WNT	P20618	PSMB1
R-HSA-162582_R-HSA-5358351_R-HSA-5610787_R-HSA-5610785_P20618	CID_11556711	carfilzomib	R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	R-HSA-5610787	Hedgehog 'off' state	P20618	PSMB1
